Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Individual_ID,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Type,source_name,SRA Study
SRR6835872,RNA-Seq,200,10580537200,PRJNA438345,SAMN08712961,4902361225,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",healthy female,SRX3791791,GSM3040918,36581,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040918,peripheral blood,peripheral blood,SRP135702
SRR6835873,RNA-Seq,200,9590608200,PRJNA438345,SAMN08712960,4445894758,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",healthy female,SRX3791792,GSM3040919,36683,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040919,peripheral blood,peripheral blood,SRP135702
SRR6835874,RNA-Seq,200,11104296200,PRJNA438345,SAMN08712959,5162181282,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",healthy female,SRX3791793,GSM3040920,36828,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040920,peripheral blood,peripheral blood,SRP135702
SRR6835875,RNA-Seq,200,11630041200,PRJNA438345,SAMN08712958,5423140096,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy female,SRX3791794,GSM3040921,47934,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040921,peripheral blood,peripheral blood,SRP135702
SRR6835876,RNA-Seq,200,9669720400,PRJNA438345,SAMN08712957,4205652703,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",healthy female,SRX3791795,GSM3040922,58029,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040922,peripheral blood,peripheral blood,SRP135702
SRR6835877,RNA-Seq,200,11388404200,PRJNA438345,SAMN08712956,4963597716,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy female,SRX3791796,GSM3040923,68172,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040923,peripheral blood,peripheral blood,SRP135702
SRR6835878,RNA-Seq,200,16466426200,PRJNA438345,SAMN08712955,7676546137,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",female Stage II-III breast cancer,SRX3791797,GSM3040924,36581,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040924,circulating tumor cells sorted from peripheral blood,circulating tumor cells sorted from peripheral blood,SRP135702
SRR6835879,RNA-Seq,200,11084999600,PRJNA438345,SAMN08712954,5140727352,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",female Stage II-III breast cancer,SRX3791798,GSM3040925,36683,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040925,circulating tumor cells sorted from peripheral blood,circulating tumor cells sorted from peripheral blood,SRP135702
SRR6835880,RNA-Seq,200,12189013800,PRJNA438345,SAMN08712953,5669372470,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",female Stage II-III breast cancer,SRX3791799,GSM3040926,36828,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040926,circulating tumor cells sorted from peripheral blood,circulating tumor cells sorted from peripheral blood,SRP135702
SRR6835881,RNA-Seq,200,17553398600,PRJNA438345,SAMN08712952,8157790758,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",female Stage II-III breast cancer,SRX3791800,GSM3040927,47934,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-05T00:00:00Z,GSM3040927,circulating tumor cells sorted from peripheral blood,circulating tumor cells sorted from peripheral blood,SRP135702
